Received DateTime,Date,Time,Day of Week,Hour,Subject
6/16/2026,2026-06-16,21:41:32,Tuesday,21,Notch Training Week #24
6/9/2026,2026-06-09,21:24:35,Tuesday,21,Notch Training Week #23
6/2/2026,2026-06-02,19:22:37,Tuesday,19,Notch Training Week #22
5/26/2026,2026-05-26,21:31:38,Tuesday,21,Notch Training Week #21
5/18/2026,2026-05-18,20:42:12,Monday,20,Notch Training Week #20
5/12/2026,2026-05-12,21:35:59,Tuesday,21,Notch Training Week #19
5/5/2026,2026-05-05,18:30:22,Tuesday,18,Notch Training Week #18
4/28/2026,2026-04-28,21:06:11,Tuesday,21,Notch Training Week #17
4/21/2026,2026-04-21,22:10:28,Tuesday,22,Notch Training Week #16
4/14/2026,2026-04-14,20:14:42,Tuesday,20,Notch Training Week #15
4/6/2026,2026-04-06,20:47:01,Monday,20,Notch Training Week #14
3/30/2026,2026-03-30,21:02:37,Monday,21,Notch Training Week #13
3/23/2026,2026-03-23,20:55:36,Monday,20,Notch Training Week #12
3/17/2026,2026-03-17,21:35:35,Tuesday,21,Notch Training Week #11
3/9/2026,2026-03-09,18:28:20,Monday,18,Notch Training Week #10
3/2/2026,2026-03-02,22:13:50,Monday,22,Notch Training Week #9
2/24/2026,2026-02-24,19:13:01,Tuesday,19,Notch Training Week #8
2/16/2026,2026-02-16,18:22:18,Monday,18,Notch Training Week #7
2/9/2026,2026-02-09,21:32:27,Monday,21,Notch Training Week #5
2/2/2026,2026-02-02,21:34:38,Monday,21,Notch Training Week #5
1/26/2026,2026-01-26,22:07:13,Monday,22,Notch Training Week #4
1/19/2026,2026-01-19,21:17:21,Monday,21,Notch Training Week #3
1/5/2026,2026-01-05,22:22:48,Monday,22,Notch Training Week #2
12/29/2025,2025-12-29,21:47:28,Monday,21,Notch Training Week #51?
12/23/2025,2025-12-23,22:13:57,Tuesday,22,Notch Training Week #50
12/10/2025,2025-12-10,7:53:44,Wednesday,7,Notch Training Week #48
12/2/2025,2025-12-02,22:46:24,Tuesday,22,Notch Training Week #47
11/26/2025,2025-11-26,7:07:36,Wednesday,7,Notch Training Week #46
11/19/2025,2025-11-19,7:28:32,Wednesday,7,Notch Training Week #45
11/11/2025,2025-11-11,20:04:55,Tuesday,20,Notch Training Week #44
11/4/2025,2025-11-04,21:38:03,Tuesday,21,Notch Training Week #43
10/28/2025,2025-10-28,21:39:46,Tuesday,21,Notch Training Week #42
10/21/2025,2025-10-21,20:57:38,Tuesday,20,Notch Training Week #41
10/14/2025,2025-10-14,21:00:18,Tuesday,21,Notch Training Week #40
10/7/2025,2025-10-07,20:56:17,Tuesday,20,Notch Training Week #39
9/30/2025,2025-09-30,21:59:05,Tuesday,21,Notch Training Week #38
9/23/2025,2025-09-23,21:25:42,Tuesday,21,Notch Training Week #37
9/16/2025,2025-09-16,21:52:15,Tuesday,21,Notch Training Week #36
9/9/2025,2025-09-09,23:28:33,Tuesday,23,Notch Training Week #35
9/2/2025,2025-09-02,21:59:39,Tuesday,21,Notch Training Week #34
8/26/2025,2025-08-26,21:44:14,Tuesday,21,Notch Training Week #33
8/19/2025,2025-08-19,17:25:27,Tuesday,17,Notch Training Week #32
8/12/2025,2025-08-12,22:07:51,Tuesday,22,Notch Training Week #31
8/5/2025,2025-08-05,21:31:53,Tuesday,21,Notch Training Week #30
7/29/2025,2025-07-29,23:31:14,Tuesday,23,Notch Training Week #29
7/22/2025,2025-07-22,15:30:01,Tuesday,15,Notch Training Week #28
7/16/2025,2025-07-16,1:30:38,Wednesday,1,Notch Training Week #27
7/8/2025,2025-07-08,22:00:25,Tuesday,22,Notch Training Week #26
7/1/2025,2025-07-01,22:44:23,Tuesday,22,Notch Training Week #25
6/24/2025,2025-06-24,17:14:48,Tuesday,17,Notch Training Week #24
6/17/2025,2025-06-17,18:02:01,Tuesday,18,Notch Training Week #23
6/10/2025,2025-06-10,16:22:50,Tuesday,16,Notch Training Week #22
6/3/2025,2025-06-03,13:11:21,Tuesday,13,Notch Training Week #21
5/27/2025,2025-05-27,18:15:53,Tuesday,18,Notch Training Week #20
5/19/2025,2025-05-19,22:36:56,Monday,22,Notch Training Week #19
5/12/2025,2025-05-12,21:52:40,Monday,21,Notch Training Week #18
4/29/2025,2025-04-29,16:37:07,Tuesday,16,Notch Training Week #16
4/22/2025,2025-04-22,14:54:05,Tuesday,14,Notch Training Week #15
4/14/2025,2025-04-14,22:04:11,Monday,22,Notch Training Week #14
4/8/2025,2025-04-08,20:13:05,Tuesday,20,Notch Training Week #13
3/31/2025,2025-03-31,22:05:46,Monday,22,Notch Training Week #12
3/25/2025,2025-03-25,22:53:55,Tuesday,22,Notch Training Week #11
3/16/2025,2025-03-16,21:25:46,Sunday,21,Notch Training Week #10
3/10/2025,2025-03-10,22:46:00,Monday,22,Notch Training Week #9
3/3/2025,2025-03-03,21:23:19,Monday,21,Notch Training Week #9
2/25/2025,2025-02-25,16:24:02,Tuesday,16,Notch Training Week #8
2/17/2025,2025-02-17,19:38:46,Monday,19,Notch Training Week #7
2/11/2025,2025-02-11,16:30:43,Tuesday,16,Notch Training Week #6
2/3/2025,2025-02-03,22:23:59,Monday,22,Notch Training Week #5
1/27/2025,2025-01-27,20:59:15,Monday,20,Notch Training Week #4
1/21/2025,2025-01-21,17:47:51,Tuesday,17,Notch Training Week #3
1/13/2025,2025-01-13,21:26:51,Monday,21,Notch Training Week #2
1/6/2025,2025-01-06,21:14:50,Monday,21,Notch Training Week #1
12/25/2024,2024-12-25,14:48:12,Wednesday,14,Notch Training Week #52
12/16/2024,2024-12-16,21:18:55,Monday,21,Notch Training Week #51
12/10/2024,2024-12-10,20:25:49,Tuesday,20,Notch Training Week #50
12/3/2024,2024-12-03,20:49:40,Tuesday,20,Notch Training Week #49
11/26/2024,2024-11-26,22:07:51,Tuesday,22,Notch Training Week #48
11/19/2024,2024-11-19,23:58:53,Tuesday,23,Notch Training Week #47
11/12/2024,2024-11-12,21:37:51,Tuesday,21,Notch Training Week #46
11/4/2024,2024-11-04,22:45:05,Monday,22,Notch Training Week #45
10/28/2024,2024-10-28,22:56:46,Monday,22,Notch Training Week #44
10/21/2024,2024-10-21,22:23:39,Monday,22,Notch Training Week #43
10/15/2024,2024-10-15,15:52:32,Tuesday,15,Notch Training Week #42
10/7/2024,2024-10-07,22:48:44,Monday,22,Notch Training Week #41
10/1/2024,2024-10-01,21:24:50,Tuesday,21,Notch Training Week #40
9/16/2024,2024-09-16,22:43:23,Monday,22,Notch Training Week #38
9/9/2024,2024-09-09,22:27:18,Monday,22,Notch Training Week #37
9/3/2024,2024-09-03,15:19:29,Tuesday,15,Notch Training Week #36
8/26/2024,2024-08-26,23:05:02,Monday,23,Notch Training Week #35
8/19/2024,2024-08-19,21:56:38,Monday,21,Notch Training Week #34
8/13/2024,2024-08-13,21:26:55,Tuesday,21,Notch Training Week #33
8/6/2024,2024-08-06,16:09:29,Tuesday,16,Notch Training Week #32
7/29/2024,2024-07-29,23:04:31,Monday,23,Notch Training Week #31
7/22/2024,2024-07-22,22:44:57,Monday,22,Notch Training Week #30
7/14/2024,2024-07-14,22:00:41,Sunday,22,Notch Training Week #29
7/8/2024,2024-07-08,22:39:32,Monday,22,Notch Training Week #28
7/1/2024,2024-07-01,22:52:09,Monday,22,Notch Training Week #27
6/17/2024,2024-06-17,5:31:39,Monday,5,Notch Training Week #25
6/11/2024,2024-06-11,13:03:42,Tuesday,13,Notch Training Week #24
6/3/2024,2024-06-03,21:56:09,Monday,21,Notch Training Week #23
5/27/2024,2024-05-27,21:15:25,Monday,21,Notch Training Week #22
5/21/2024,2024-05-21,14:46:50,Tuesday,14,Notch Training Week #21
5/13/2024,2024-05-13,22:22:50,Monday,22,Notch Training Week #20
5/6/2024,2024-05-06,22:16:16,Monday,22,Notch Training Week #19
4/29/2024,2024-04-29,21:51:25,Monday,21,Notch Training Week #18
4/22/2024,2024-04-22,13:54:29,Monday,13,Notch Training Week #17
4/16/2024,2024-04-16,22:31:55,Tuesday,22,Notch Training Week #16
4/1/2024,2024-04-01,23:15:13,Monday,23,Notch Training Week #14
3/25/2024,2024-03-25,21:06:54,Monday,21,Notch Training Week #13
3/18/2024,2024-03-18,21:41:05,Monday,21,Notch Training Week #12
3/11/2024,2024-03-11,20:57:56,Monday,20,Notch Training Week #11
3/4/2024,2024-03-04,21:05:53,Monday,21,Notch Training Week #10
2/26/2024,2024-02-26,22:33:32,Monday,22,Notch Training Week #9
2/19/2024,2024-02-19,17:19:05,Monday,17,Notch Training Week #8
2/13/2024,2024-02-13,9:36:51,Tuesday,9,Notch Training Week #7
2/5/2024,2024-02-05,21:12:52,Monday,21,Notch Training Week #6
1/29/2024,2024-01-29,22:27:40,Monday,22,Notch Training Week #5
1/22/2024,2024-01-22,22:15:26,Monday,22,Notch Training Week #4
1/16/2024,2024-01-16,21:08:53,Tuesday,21,Notch Training Week #3
1/9/2024,2024-01-09,19:58:30,Tuesday,19,Notch Training Week #2
1/2/2024,2024-01-02,15:42:37,Tuesday,15,Notch Training Week #1
12/26/2023,2023-12-26,16:57:37,Tuesday,16,Notch Training Week #52
12/19/2023,2023-12-19,21:44:27,Tuesday,21,Notch Training Week #51
12/12/2023,2023-12-12,14:48:48,Tuesday,14,Notch Training Week #50
12/4/2023,2023-12-04,16:44:01,Monday,16,Notch Training Week #49
11/27/2023,2023-11-27,22:05:13,Monday,22,Notch Training Week #48
11/20/2023,2023-11-20,19:52:48,Monday,19,Notch Training Week #47
11/13/2023,2023-11-13,12:46:24,Monday,12,Notch Training Week #46
11/6/2023,2023-11-06,20:10:00,Monday,20,Notch Training Week #45
10/30/2023,2023-10-30,20:21:31,Monday,20,Notch Training Week #44
10/17/2023,2023-10-17,13:14:11,Tuesday,13,Notch Training Week #42
10/10/2023,2023-10-10,20:05:57,Tuesday,20,Notch Training Week #41?
10/2/2023,2023-10-02,21:52:03,Monday,21,Notch Training Week #40
9/26/2023,2023-09-26,12:41:27,Tuesday,12,Notch Training Week #39
9/18/2023,2023-09-18,16:46:38,Monday,16,Notch Training Week #38
9/5/2023,2023-09-05,16:28:22,Tuesday,16,Notch Training Week #36
8/28/2023,2023-08-28,23:14:01,Monday,23,Notch Training Week #35
8/22/2023,2023-08-22,11:25:58,Tuesday,11,Notch Training Week #34
8/15/2023,2023-08-15,16:39:35,Tuesday,16,Notch Training Week #33
8/6/2023,2023-08-06,21:56:48,Sunday,21,Notch Training Week #32
8/1/2023,2023-08-01,10:19:08,Tuesday,10,Notch Training Week #31
7/25/2023,2023-07-25,20:06:05,Tuesday,20,Notch Training Week #30
7/11/2023,2023-07-11,6:28:32,Tuesday,6,Notch Training Week #28
7/4/2023,2023-07-04,20:07:28,Tuesday,20,Notch Training Week #27
6/27/2023,2023-06-27,9:57:07,Tuesday,9,Notch Training Week #26
6/19/2023,2023-06-19,22:20:38,Monday,22,Notch Training Week #25
6/6/2023,2023-06-06,15:14:24,Tuesday,15,Notch Training Week #23
5/30/2023,2023-05-30,22:30:29,Tuesday,22,Notch Training Week #22
5/23/2023,2023-05-23,9:23:55,Tuesday,9,Notch Training Week #21
5/16/2023,2023-05-16,21:00:49,Tuesday,21,Notch Training Week #20
5/8/2023,2023-05-08,22:04:07,Monday,22,Notch Training Week #19
5/1/2023,2023-05-01,22:02:19,Monday,22,Notch Training Week #18
4/24/2023,2023-04-24,13:05:41,Monday,13,Notch Training Week #17
4/10/2023,2023-04-10,22:34:37,Monday,22,Notch Training Week #15
4/3/2023,2023-04-03,22:55:59,Monday,22,Notch Training Week #14
3/27/2023,2023-03-27,18:22:51,Monday,18,Notch Training Week #13
3/20/2023,2023-03-20,22:46:33,Monday,22,Notch Training Week #12
3/13/2023,2023-03-13,22:44:22,Monday,22,Notch Training Week #11
3/6/2023,2023-03-06,22:40:53,Monday,22,Notch Training Week #10
2/27/2023,2023-02-27,22:05:20,Monday,22,Notch Training Week #9
2/13/2023,2023-02-13,21:22:05,Monday,21,Notch Training Week #7v.2
2/6/2023,2023-02-06,21:41:53,Monday,21,Notch Training Week #7: 5k Race Week
1/30/2023,2023-01-30,20:33:48,Monday,20,Notch Training Week #5
2/2/2023,2023-02-02,22:04:05,Thursday,22,Re: Notch Training Week #5
1/23/2023,2023-01-23,19:40:07,Monday,19,Notch Training Week #4
1/16/2023,2023-01-16,20:24:18,Monday,20,Notch Training Week #3
1/9/2023,2023-01-09,5:51:18,Monday,5,Notch Training Week #2
1/2/2023,2023-01-02,18:10:39,Monday,18,Notch Training Week #1
11/8/2022,2022-11-08,16:57:16,Tuesday,16,Final Notch Training 10.7.22
10/31/2022,2022-10-31,17:21:03,Monday,17,Notch Training 10.3
11/4/2022,2022-11-04,17:17:08,Friday,17,Re: Notch Training 10.3
10/25/2022,2022-10-25,18:51:44,Tuesday,18,Notch Training 10.25
10/18/2022,2022-10-18,16:07:34,Tuesday,16,Notch Training 10.17
10/11/2022,2022-10-11,21:53:33,Tuesday,21,Notch Training 10.10
10/4/2022,2022-10-04,21:13:53,Tuesday,21,Notch Training 10.3
9/27/2022,2022-09-27,21:51:22,Tuesday,21,Notch Training 9.26
9/20/2022,2022-09-20,12:32:34,Tuesday,12,Notch Training 9/19
9/13/2022,2022-09-13,9:57:26,Tuesday,9,Notch Training 9/12
9/6/2022,2022-09-06,15:08:25,Tuesday,15,Notch Training 9/5
8/30/2022,2022-08-30,21:12:20,Tuesday,21,Notch Training 8/29
8/23/2022,2022-08-23,21:27:24,Tuesday,21,Notch Training 8/21
8/15/2022,2022-08-15,22:30:49,Monday,22,Notch Training 8/15
8/9/2022,2022-08-09,13:15:24,Tuesday,13,Notch Training 8/8
8/2/2022,2022-08-02,18:48:52,Tuesday,18,Notch Training 8/1
7/25/2022,2022-07-25,16:37:34,Monday,16,Notch Training 7/25
7/19/2022,2022-07-19,19:13:11,Tuesday,19,Notch Training (7/18)
7/12/2022,2022-07-12,22:40:49,Tuesday,22,Notch Training (7/11)
5/24/2022,2022-05-24,19:47:27,Tuesday,19,Notch Training 5/21 (Week of VCM)
5/16/2022,2022-05-16,17:39:59,Monday,17,Notch Training 5/16
5/10/2022,2022-05-10,21:09:35,Tuesday,21,Notch Training 5/9
5/2/2022,2022-05-02,21:28:55,Monday,21,Notch Training 5/2
4/25/2022,2022-04-25,21:25:54,Monday,21,Notch Training 4/25
4/20/2022,2022-04-20,13:52:32,Wednesday,13,Notch Training
4/11/2022,2022-04-11,22:07:00,Monday,22,Notch Training
3/22/2022,2022-03-22,14:22:23,Tuesday,14,Notch Training // Marathons or BD5
3/28/2022,2022-03-28,21:43:54,Monday,21,Re: Notch Training // Marathons or BD5
